Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Preu (Euros/mes) T1,Preu (Euros/mes) T2,Preu (Euros/mes) T3,Preu (Euros/mes) T4,Preu (Euros/m2 mes) T1,Preu (Euros/m2 mes) T2,Preu (Euros/m2 mes) T3,Preu (Euros/m2 mes) T4,Preu (Euros/mes) Mean,Preu (Euros/mes) Std,Preu (Euros/m2 mes) Mean,Preu (Euros/m2 mes) Std,Infraccion_gravedad,accidentes_mati,accidentes_tarde,accidentes_nit,accidentes,accidentes_tipo,accidentes_tipo_count,Indice_Sonido_Dia,Indice_Sonido_Tarde,Indice_Sonido_Noche,Indice_Sonido,indice
8,Nou Barris,55,Ciutat Meridiana,233.56,221.85500000000002,215.23499999999999,216.53,7.93,7.54,7.38,7.55,221.795,8.350102793778454,7.6,0.23338094752285718,101,8,4,2.0,14,Manca d'atenció a la conducció,4,0.33345624999999995,0.294325,0.19045,0.25021375,0.8419991135390208
8,Nou Barris,56,Vallbona,153.48499999999999,153.48499999999999,153.48499999999999,153.48499999999999,4.45,4.45,4.45,4.45,153.48499999999999,0.0,4.45,0.0,109,3,10,,13,Altres,4,0.34757499999999997,0.32075000000000004,0.2100375,0.27075875,0.8467849896223675
9,Sant Andreu,57,la Trinitat Vella,253.61999999999998,221.175,271.13500000000005,273.03,9.4,7.44,9.94,10.14,254.74,24.022099200527833,9.23,1.2335855597944283,805,43,40,10.0,93,Manca d'atenció a la conducció,26,0.38424375,0.33723125,0.21995625,0.28799625,0.7577046279985451
9,Sant Andreu,58,Baró de Viver,415.1766011904762,415.1766011904762,415.1766011904762,415.1766011904762,12.52025,12.52025,12.52025,12.52025,415.1766011904762,0.0,12.52025,0.0,242,13,10,3.0,26,No respectar distàncies,6,0.4484625,0.3884375,0.22386874999999995,0.31815812499999996,0.6688912794280446
9,Sant Andreu,59,el Bon Pastor,316.01500000000004,328.92,331.68,292.88,9.21,10.15,9.64,8.79,317.37375,17.69910231951516,9.4475,0.5828879251908842,1105,53,79,7.0,139,Manca d'atenció a la conducció,26,0.31183125,0.25865000000000005,0.16003125,0.21997687500000002,0.8031088249238161
9,Sant Andreu,60,Sant Andreu,360.515,370.01,378.615,382.19500000000005,12.43,11.93,12.5,12.44,372.83375,9.67438230155637,12.325,0.26514147167125707,1733,75,96,29.0,200,Manca d'atenció a la conducció,47,0.39182500000000003,0.34263749999999993,0.22605000000000003,0.29418125,0.6669212670901041
9,Sant Andreu,61,la Sagrera,292.515,333.62,351.84000000000003,371.96000000000004,9.8,10.53,11.19,11.69,337.48375,33.82223513582943,10.802499999999998,0.8199745931023306,621,22,43,8.0,73,Manca d'atenció a la conducció,14,0.46219375,0.411375,0.28419374999999997,0.35794812499999995,0.6418750523828753
9,Sant Andreu,62,el Congrés i els Indians,353.635,367.71,386.58000000000004,377.02,11.23,11.14,11.97,11.15,371.23625000000004,14.037104031221462,11.3725,0.4003644173333424,282,16,20,2.0,38,Manca d'atenció a la conducció,7,0.3842,0.33647499999999997,0.21093125,0.283248125,0.7296016794059659
9,Sant Andreu,63,Navas,363.59,397.98,400.83500000000004,408.39500000000004,10.4,12.08,11.48,11.69,392.7,19.89792074564579,11.4125,0.719322598004539,564,20,37,8.0,65,Altres,13,0.45993125,0.41147500000000004,0.27120625000000004,0.351031875,0.6278596841071351
10,Sant Martí,64,el Camp de l'Arpa del Clot,384.73,389.265,405.27000000000004,401.425,12.89,12.79,12.84,13.26,395.1725,9.746753733081265,12.944999999999999,0.2139314531962673,1652,88,91,12.0,191,Manca d'atenció a la conducció,28,0.41795625000000003,0.37485,0.262075,0.32708375,0.6195734961571402
10,Sant Martí,65,el Clot,393.615,376.59499999999997,393.995,394.84000000000003,12.26,12.28,12.72,12.47,389.76125,8.792418490760495,12.4325,0.21375609153113484,1429,61,75,18.0,154,Desobeir semàfor,30,0.48984375,0.44096874999999996,0.300975,0.380746875,0.5638686437826566
10,Sant Martí,66,el Parc i la Llacuna del Poblenou,431.895,460.675,459.845,464.855,13.06,14.21,14.45,13.38,454.3175,15.108259054790768,13.775,0.6613370295595629,1808,93,93,20.0,206,Altres,35,0.45975,0.4171000000000001,0.290175,0.36216750000000003,0.5453714825497604
10,Sant Martí,67,la Vila Olímpica del Poblenou,562.3149999999999,682.07,602.615,683.735,16.26,18.51,15.97,17.65,632.68375,60.280241424947896,17.0975,1.1934648437777013,1015,44,63,17.0,124,Manca d'atenció a la conducció,23,0.43961874999999995,0.3175875,0.20758125000000002,0.286990625,0.5850520469751436
10,Sant Martí,68,el Poblenou,441.125,456.94,466.05,462.665,13.35,13.99,14.23,14.21,456.695,11.039955464886026,13.945,0.4112987559751027,1559,79,81,20.0,180,Manca d'atenció a la conducció,34,0.38083125,0.34130625000000003,0.221775,0.28944562500000004,0.6415163437098759
10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,581.995,490.535,554.78,624.76,15.79,15.71,16.22,16.51,563.0174999999999,56.2549287470292,16.0575,0.37571043814796207,1213,54,72,13.0,139,Manca d'atenció a la conducció,28,0.4844625,0.42401250000000007,0.274775,0.36148375,0.5181568067919384
10,Sant Martí,70,el Besòs i el Maresme,299.21,308.265,317.58,315.86,9.52,9.92,10.03,10.4,310.22875,8.386914783359462,9.9675,0.3621578845384062,970,46,45,12.0,103,Manca d'atenció a la conducció,18,0.33308125,0.30006249999999995,0.17763125,0.24545062499999998,0.779662543381521
10,Sant Martí,71,Provençals del Poblenou,506.435,477.27,473.27,438.375,13.25,13.38,12.64,12.66,473.8375,27.88243189417547,12.982500000000002,0.38767469180572867,1546,75,67,14.0,156,Desobeir semàfor,33,0.46398749999999994,0.42680624999999994,0.2969625,0.36932062499999996,0.5367931713708711
10,Sant Martí,72,Sant Martí de Provençals,376.29999999999995,380.91,393.59000000000003,400.70500000000004,10.54,11.11,11.09,10.83,387.87625,11.251103186650958,10.892499999999998,0.26737925623852493,743,41,38,8.0,87,Altres,15,0.38746875000000003,0.3397,0.2263,0.29255375000000006,0.6954400428926022
10,Sant Martí,73,la Verneda i la Pau,343.96999999999997,340.86,361.195,351.525,10.03,9.85,10.4,10.38,349.38749999999993,9.056370225795025,10.165000000000001,0.2701234285778762,634,30,36,12.0,78,Altres,12,0.42341874999999995,0.37794375,0.24824374999999999,0.32218875,0.6798752424414654
